站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230706154300,30.1,1025.3,80,189,7.7,1.3,10459.5
58102,20230706154300,9.4,1021.6,95,104,12.4,0.3,10202.7
58118,20230706154300,21.7,1019.6,83,274,7.9,0.7,10458.9
58122,20230706154300,17.4,1018.3,77,212,8.7,1.1,10124.3
58203,20230706154300,8.5,1024.6,25,218,5.1,0.7,10441.9
58215,20230706154300,32.9,1008.7,3,315,7.3,1.4,10248.4
58221,20230706154300,19.9,1002.4,79,166,7.0,0.7,10453.1
58225,20230706154300,4.9,1004.8,78,125,11.1,0.8,10069.8
58236,20230706154300,9.8,1023.7,91,215,9.3,0.9,10050.9
58311,20230706154300,14.4,1017.5,39,265,14.4,0.9,10341.2
58314,20230706154300,21.8,1011.9,67,107,6.8,0.9,10181.1
58319,20230706154300,19.0,1008.7,96,181,9.7,0.3,10440.8
58321,20230706154300,11.1,1015.5,36,1,13.4,1.0,10267.7
58326,20230706154300,7.7,1021.8,50,304,13.6,0.5,10088.4
58336,20230706154300,8.0,1021.4,84,100,4.8,0.5,10393.5
58338,20230706154300,11.8,1007.5,1,118,1.2,1.3,10493.8
58414,20230706154300,31.1,1017.4,79,272,10.2,0.3,10425.3
58419,20230706154300,3.6,1008.8,32,246,6.7,1.4,10467.8
58424,20230706154300,15.5,1016.5,69,325,6.1,0.5,10344.2
58429,20230706154300,11.2,1023.4,47,0,8.4,0.4,10119.0
58436,20230706154300,24.8,1022.3,57,121,2.9,0.2,10159.7
58437,20230706154300,23.3,1024.7,87,232,11.1,0.7,10085.0
58520,20230706154300,18.0,1008.8,44,65,10.0,0.3,10155.2
58531,20230706154300,1.3,1019.2,39,225,7.8,0.2,10095.8
54406,20230706154300,31.4,1010.3,22,32,5.3,1.2,10102.7
54416,20230706154300,18.3,1002.6,19,318,9.5,0.7,10050.2
54511,20230706154300,5.8,1012.3,57,338,0.3,0.8,10140.6
58725,20230706154300,15.5,1017.1,14,309,0.5,0.2,10491.7
58730,20230706154300,13.3,1022.0,42,87,7.3,0.9,10015.3
58731,20230706154300,12.9,1007.3,32,172,13.1,0.4,10272.0
58734,20230706154300,27.7,1024.3,68,245,2.2,0.5,10150.0
58737,20230706154300,27.7,1024.5,19,113,0.6,0.5,10145.8
58744,20230706154300,21.3,1006.3,28,56,10.3,0.5,10268.5
58754,20230706154300,27.8,1006.8,45,347,8.4,1.4,10488.8
58818,20230706154300,11.7,1017.6,26,126,8.0,1.1,10335.1
58820,20230706154300,25.4,1006.6,56,261,5.6,1.5,10228.3
58834,20230706154300,6.4,1003.4,98,207,13.7,0.1,10032.6
58837,20230706154300,29.2,1004.2,61,250,12.2,1.2,10061.1
58843,20230706154300,0.8,1011.0,22,248,7.1,1.5,10002.9
58846,20230706154300,15.3,1015.8,42,267,2.5,1.4,10153.1
58847,20230706154300,33.3,1023.9,76,218,0.3,0.4,10498.5
58911,20230706154300,29.0,1010.6,33,34,7.5,0.7,10040.2
58918,20230706154300,34.7,1014.2,19,208,7.7,0.0,10353.1
58921,20230706154300,15.0,1023.1,59,104,14.2,0.1,10356.1
58926,20230706154300,26.9,1005.4,95,22,2.5,1.2,10454.6
58927,20230706154300,18.0,1017.2,81,160,9.3,0.3,10473.7
58931,20230706154300,22.0,1015.7,80,79,10.4,0.1,10107.6
58933,20230706154300,23.3,1006.8,68,306,4.5,0.6,10405.6
58936,20230706154300,13.9,1023.9,63,128,14.0,0.2,10393.1
58944,20230706154300,6.6,1001.7,79,276,6.6,0.9,10255.0
59113,20230706154300,16.1,1016.4,77,251,2.6,0.6,10091.2
59126,20230706154300,23.3,1014.2,82,146,8.5,0.9,10349.4
59133,20230706154300,28.2,1023.3,98,61,2.2,1.2,10038.2
59134,20230706154300,6.5,1002.0,79,81,8.4,0.3,10326.8
59321,20230706154300,10.0,1018.7,97,301,12.8,1.0,10113.1
52323,20230706154300,5.4,1004.3,3,299,1.0,1.2,10424.4
52418,20230706154300,24.8,1011.5,17,300,9.3,0.1,10442.2
52424,20230706154300,26.8,1006.4,62,353,7.1,1.1,10266.1
52436,20230706154300,30.5,1012.8,89,177,4.2,1.0,10055.6
52446,20230706154300,17.0,1012.3,77,17,4.6,0.0,10451.0
52447,20230706154300,0.9,1008.1,12,287,0.1,1.3,10107.9
52533,20230706154300,34.6,1001.9,48,164,0.3,0.5,10283.1
52546,20230706154300,32.4,1009.8,73,109,9.9,0.7,10034.1
52652,20230706154300,34.1,1000.5,70,4,9.5,1.0,10391.9
52661,20230706154300,24.1,1023.6,47,310,5.7,1.2,10195.0
52674,20230706154300,16.0,1016.8,42,107,11.7,1.4,10290.9
52679,20230706154300,2.0,1016.2,83,216,2.8,1.2,10430.1
52681,20230706154300,27.7,1017.9,36,20,12.4,1.5,10347.8
52787,20230706154300,32.1,1003.6,15,83,11.9,0.7,10231.1
52797,20230706154300,7.7,1025.9,82,77,10.4,0.0,10332.3
52884,20230706154300,2.3,1000.7,33,325,13.2,0.5,10294.1
52895,20230706154300,21.2,1000.7,28,9,9.7,0.5,10322.2
52983,20230706154300,2.3,1014.6,75,35,14.9,0.3,10104.0
52984,20230706154300,31.8,1019.9,46,227,0.5,1.4,10022.8
52986,20230706154300,5.9,1013.9,100,164,3.9,0.9,10330.3
52996,20230706154300,12.1,1012.3,38,165,8.8,0.0,10162.9
53821,20230706154300,8.5,1018.8,55,38,12.9,0.1,10443.3
53915,20230706154300,13.0,1008.4,24,359,14.5,0.7,10111.4
53923,20230706154300,15.1,1014.0,27,342,7.0,1.3,10007.2
56074,20230706154300,26.1,1018.4,32,144,2.3,0.3,10378.3
56080,20230706154300,21.3,1006.2,96,18,1.1,0.6,10087.2
56093,20230706154300,24.2,1006.7,93,313,14.3,0.1,10152.8
56096,20230706154300,3.8,1016.7,76,289,1.8,0.6,10257.7
57014,20230706154300,29.0,1012.7,47,91,10.3,0.7,10069.4
57996,20230706154300,2.8,1013.8,27,131,6.6,1.1,10484.4
59072,20230706154300,7.9,1010.1,35,73,5.5,0.0,10211.2
59082,20230706154300,4.8,1018.1,33,307,11.4,0.5,10192.9
59087,20230706154300,33.4,1011.5,18,234,3.2,1.5,10043.6
59088,20230706154300,3.5,1025.5,60,126,9.5,0.8,10185.0
59096,20230706154300,1.3,1018.0,70,342,9.8,1.3,10459.6
59097,20230706154300,0.4,1001.4,84,284,10.0,0.5,10014.7
59107,20230706154300,16.6,1017.1,5,240,4.1,0.0,10048.6
59116,20230706154300,22.5,1018.2,95,42,0.9,0.7,10108.0
59117,20230706154300,0.4,1006.4,98,168,14.4,0.1,10052.9
59271,20230706154300,9.5,1024.0,51,21,8.9,0.1,10147.2
59278,20230706154300,4.1,1002.3,43,298,2.6,0.5,10028.6
59280,20230706154300,21.7,1018.2,69,312,2.1,0.4,10090.4
59287,20230706154300,23.0,1007.3,60,277,12.7,1.3,10080.9
59289,20230706154300,7.4,1017.1,22,221,3.8,1.0,10093.6
59293,20230706154300,7.7,1024.1,67,0,14.1,0.4,10471.7
59294,20230706154300,21.7,1004.8,54,286,13.3,0.2,10028.7
59298,20230706154300,25.4,1016.5,69,57,11.0,0.3,10461.5
59303,20230706154300,4.0,1015.4,84,36,0.2,1.4,10095.9
59304,20230706154300,24.0,1021.6,24,9,0.9,1.4,10177.1
59306,20230706154300,10.0,1024.0,57,309,8.0,0.9,10100.4
59310,20230706154300,6.3,1017.0,28,240,9.8,1.0,10394.5
59316,20230706154300,16.0,1004.9,16,10,4.6,1.0,10381.8
59317,20230706154300,4.8,1012.8,7,351,2.5,1.0,10199.5
59324,20230706154300,18.4,1017.0,91,177,14.0,1.5,10154.9
59456,20230706154300,2.0,1009.1,42,276,7.4,0.3,10499.2
59462,20230706154300,2.2,1011.1,24,282,8.3,1.2,10125.7
59478,20230706154300,32.9,1025.7,84,357,3.0,1.1,10134.4
59485,20230706154300,0.5,1026.0,98,172,0.0,1.5,10076.0
59488,20230706154300,34.2,1000.0,81,315,9.7,0.5,10455.1
59493,20230706154300,32.1,1016.8,80,313,14.4,0.0,10368.9
59501,20230706154300,2.7,1026.0,96,138,3.4,0.4,10233.2
59658,20230706154300,16.4,1001.7,54,112,7.2,0.1,10141.8
59663,20230706154300,12.3,1016.5,60,325,3.5,1.2,10006.1
59664,20230706154300,23.2,1000.0,57,25,0.3,0.2,10378.0
59673,20230706154300,24.9,1019.1,68,59,8.8,0.6,10066.8
59754,20230706154300,2.2,1008.8,97,337,5.5,1.0,10274.4
57947,20230706154300,17.8,1025.8,86,193,4.8,0.6,10083.0
57957,20230706154300,18.6,1020.9,97,298,9.4,0.6,10408.1
57958,20230706154300,4.9,1022.4,82,49,14.7,0.4,10457.6
59021,20230706154300,28.6,1026.3,100,50,2.1,1.5,10492.9
59023,20230706154300,17.7,1023.4,35,197,10.2,0.1,10242.4
59027,20230706154300,5.3,1015.5,66,309,11.0,1.1,10110.0
59037,20230706154300,10.6,1013.5,23,286,9.9,1.0,10297.0
59046,20230706154300,24.6,1010.8,26,144,2.1,0.4,10085.2
59058,20230706154300,19.5,1008.6,17,22,13.0,0.3,10479.2
59065,20230706154300,13.5,1018.5,50,210,9.8,0.5,10339.9
59209,20230706154300,26.0,1024.2,98,156,2.7,0.2,10319.1
59211,20230706154300,22.8,1018.5,28,356,6.0,0.4,10247.5
59218,20230706154300,3.2,1006.4,99,147,13.0,0.6,10107.9
59228,20230706154300,1.3,1020.4,26,50,0.2,0.5,10080.6
59242,20230706154300,5.2,1007.3,2,112,5.5,0.9,10175.0
59254,20230706154300,13.4,1001.4,67,132,12.9,0.8,10328.8
59265,20230706154300,4.0,1003.9,68,54,13.8,0.6,10296.8
59417,20230706154300,6.8,1002.4,9,3,7.6,0.6,10415.4
59431,20230706154300,8.0,1015.3,8,102,11.3,1.2,10494.2
59446,20230706154300,27.1,1022.5,86,295,9.9,0.9,10265.1
59453,20230706154300,33.1,1016.6,46,171,12.5,0.3,10478.3
59626,20230706154300,1.3,1017.1,32,223,8.7,0.4,10115.2
59631,20230706154300,26.3,1012.6,32,143,11.1,1.0,10028.2
59632,20230706154300,7.4,1015.3,70,347,8.8,1.4,10119.5
59644,20230706154300,4.0,1005.0,41,311,4.1,0.4,10349.2
59647,20230706154300,21.8,1022.3,64,181,6.6,1.3,10422.5
56691,20230706154300,25.3,1012.6,41,9,9.7,0.0,10298.1
56693,20230706154300,1.0,1009.7,16,146,5.1,0.9,10268.7
56792,20230706154300,14.1,1014.1,56,11,3.7,0.8,10008.2
56793,20230706154300,33.0,1024.9,73,169,13.7,0.7,10137.4
57606,20230706154300,20.3,1000.9,19,176,13.7,1.1,10300.8
57614,20230706154300,23.6,1016.5,65,216,0.2,0.8,10039.9
57625,20230706154300,20.5,1025.7,93,357,10.9,0.2,10059.9
57647,20230706154300,34.8,1011.3,56,88,6.2,0.7,10255.9
57707,20230706154300,34.9,1015.5,12,124,6.1,0.3,10261.0
57710,20230706154300,34.9,1000.3,56,305,8.3,0.8,10358.6
57712,20230706154300,3.7,1012.9,36,33,6.3,0.6,10026.1
57718,20230706154300,27.4,1015.2,88,122,6.0,0.1,10267.8
57722,20230706154300,17.2,1006.4,79,313,11.6,0.4,10111.8
57729,20230706154300,2.7,1024.2,100,196,6.5,1.5,10228.8
57731,20230706154300,5.0,1013.1,83,67,7.5,1.3,10311.8
57741,20230706154300,8.9,1014.0,89,355,4.7,0.9,10471.4
57803,20230706154300,30.9,1019.0,44,333,13.9,1.3,10318.2
57805,20230706154300,0.7,1017.2,70,95,13.4,0.4,10396.7
57806,20230706154300,14.9,1020.1,89,99,6.7,0.1,10187.4
57816,20230706154300,24.5,1025.1,29,116,10.1,1.3,10016.2
57825,20230706154300,25.0,1012.1,13,81,8.7,1.4,10180.6
57827,20230706154300,12.8,1002.3,24,16,8.0,0.7,10451.2
57832,20230706154300,1.4,1000.3,11,225,2.6,1.2,10305.8
57839,20230706154300,24.3,1003.0,98,310,9.2,0.5,10497.7
57840,20230706154300,19.5,1016.2,5,18,10.3,1.5,10109.8
57902,20230706154300,34.2,1022.4,95,191,11.2,0.6,10061.0
57906,20230706154300,9.4,1025.2,47,120,7.0,0.8,10422.1
57907,20230706154300,19.6,1012.9,18,181,3.0,0.7,10399.3
57910,20230706154300,32.4,1011.0,78,171,9.4,0.8,10366.0
57912,20230706154300,24.9,1012.2,81,12,11.8,1.1,10405.6
57916,20230706154300,18.2,1025.4,56,136,5.1,0.8,10205.6
57922,20230706154300,27.1,1025.1,8,187,1.1,0.6,10233.2
57926,20230706154300,14.3,1018.7,90,109,3.2,1.1,10307.4
57932,20230706154300,7.8,1016.1,60,188,1.0,1.5,10452.6
59758,20230706154300,22.8,1022.9,36,170,3.3,1.3,10366.1
59838,20230706154300,3.5,1006.9,62,108,14.5,0.3,10175.8
59845,20230706154300,25.8,1004.4,16,113,10.6,1.4,10285.0
59849,20230706154300,14.1,1019.4,55,339,8.5,1.3,10099.9
59855,20230706154300,9.5,1015.6,85,155,6.2,0.2,10163.9
59948,20230706154300,24.5,1014.1,69,172,4.0,0.9,10462.3
59954,20230706154300,3.8,1025.2,10,116,4.1,1.0,10455.3
59981,20230706154300,0.0,1019.1,86,181,3.5,0.3,10185.0
53399,20230706154300,12.1,1003.7,23,88,9.8,1.5,10193.3
53593,20230706154300,16.2,1004.4,64,180,11.5,0.9,10292.9
53698,20230706154300,10.6,1008.5,19,64,0.3,1.0,10423.4
53798,20230706154300,34.6,1012.0,27,176,6.6,0.7,10325.9
54308,20230706154300,30.2,1002.0,51,5,13.3,1.4,10355.0
54311,20230706154300,28.3,1011.1,15,226,14.7,1.1,10349.0
54401,20230706154300,31.3,1011.2,85,239,9.2,0.0,10315.4
54405,20230706154300,14.5,1010.8,35,34,11.9,0.6,10058.5
54423,20230706154300,8.7,1025.8,33,241,13.3,1.4,10081.3
54429,20230706154300,31.8,1016.9,60,2,5.7,0.5,10122.8
54436,20230706154300,5.5,1020.8,22,138,1.0,0.0,10336.6
54449,20230706154300,0.3,1018.3,52,280,4.7,0.3,10080.9
54518,20230706154300,26.8,1011.7,70,5,4.0,1.3,10395.2
54534,20230706154300,32.6,1000.2,83,64,11.1,0.1,10155.8
54535,20230706154300,26.8,1025.3,17,305,11.1,0.0,10244.4
54539,20230706154300,12.4,1000.6,8,127,1.9,1.2,10341.7
54602,20230706154300,11.8,1026.4,74,246,2.3,0.7,10452.2
54606,20230706154300,26.4,1024.9,77,230,4.1,0.0,10357.1
54618,20230706154300,25.4,1022.3,1,214,12.1,0.7,10183.1
54624,20230706154300,23.4,1016.3,2,188,6.9,0.8,10088.0
54705,20230706154300,23.8,1025.0,33,79,7.4,1.3,10415.1
53898,20230706154300,19.8,1023.2,99,94,14.8,0.4,10254.5
53986,20230706154300,34.1,1004.0,0,325,8.5,0.3,10350.6
57051,20230706154300,10.6,1013.9,0,272,11.7,0.7,10178.8
57067,20230706154300,28.6,1000.7,10,86,11.7,1.1,10234.6
57071,20230706154300,29.4,1003.6,64,94,6.8,0.4,10019.1
57077,20230706154300,16.8,1004.0,92,179,1.2,1.0,10379.8
57083,20230706154300,14.7,1004.2,1,205,11.1,1.5,10392.7
57084,20230706154300,32.8,1003.1,45,256,11.3,0.3,10068.7
57089,20230706154300,18.3,1026.2,22,249,11.1,0.7,10086.5
57091,20230706154300,28.1,1013.3,81,320,1.0,1.1,10116.5
57156,20230706154300,12.2,1025.1,4,119,10.3,0.8,10382.8
57178,20230706154300,26.4,1003.1,2,104,0.8,0.4,10397.5
57181,20230706154300,2.3,1021.2,90,276,12.2,1.1,10441.4
57193,20230706154300,8.5,1013.7,43,216,14.5,1.5,10429.6
57285,20230706154300,10.8,1001.6,59,140,1.0,0.8,10023.4
57290,20230706154300,6.3,1004.5,14,80,8.1,1.0,10400.6
57297,20230706154300,28.9,1014.2,53,353,9.6,0.8,10228.0
58005,20230706154300,27.0,1011.4,5,225,8.1,0.7,10435.5
58111,20230706154300,12.8,1017.6,52,36,6.7,1.4,10003.9
58208,20230706154300,7.9,1000.3,31,213,11.0,1.3,10022.7
50136,20230706154300,34.2,1017.7,6,243,3.1,0.6,10022.5
50246,20230706154300,7.9,1025.5,79,330,5.9,0.5,10070.6
50247,20230706154300,9.0,1009.6,96,89,7.7,0.0,10169.5
50349,20230706154300,9.7,1015.5,34,326,7.1,1.1,10489.2
50353,20230706154300,13.1,1016.2,61,73,14.9,1.4,10119.3
50442,20230706154300,33.0,1023.7,77,149,11.3,1.1,10041.4
50468,20230706154300,22.2,1008.5,64,35,11.7,0.0,10416.9
50557,20230706154300,19.4,1001.8,41,301,3.1,0.8,10029.2
50564,20230706154300,0.2,1016.7,77,103,6.6,0.8,10287.4
50656,20230706154300,6.5,1007.0,76,117,1.2,1.5,10445.3
50658,20230706154300,17.7,1003.6,95,162,6.3,1.3,10193.7
50674,20230706154300,13.0,1023.1,14,337,2.6,0.2,10338.9
50739,20230706154300,15.7,1005.0,76,129,14.0,0.2,10068.3
50742,20230706154300,10.6,1005.9,3,24,9.6,0.0,10127.0
50745,20230706154300,6.0,1022.3,45,128,4.6,0.3,10252.9
50756,20230706154300,16.0,1010.5,27,102,14.6,0.8,10476.5
50758,20230706154300,22.5,1005.6,91,282,13.7,0.0,10008.6
50774,20230706154300,17.9,1006.8,94,85,12.4,0.7,10300.5
50778,20230706154300,2.0,1008.8,36,103,5.6,1.1,10428.8
50788,20230706154300,30.3,1003.8,20,175,2.9,0.0,10136.0
50844,20230706154300,7.7,1021.9,80,2,1.2,0.3,10077.2
50853,20230706154300,20.1,1017.2,77,290,5.6,1.4,10221.6
50854,20230706154300,33.2,1010.0,99,63,8.0,0.0,10197.3
50862,20230706154300,18.6,1026.3,57,171,11.6,1.4,10069.2
50873,20230706154300,19.7,1023.6,4,335,5.0,1.3,10292.1
50877,20230706154300,1.4,1012.2,62,256,1.1,0.7,10020.1
50888,20230706154300,31.7,1006.3,11,300,9.0,0.0,10420.4
50950,20230706154300,2.0,1021.4,40,209,10.2,0.6,10292.5
50953,20230706154300,32.1,1007.9,95,160,9.2,0.7,10015.6
50955,20230706154300,4.2,1022.4,69,16,13.8,1.5,10257.9
50963,20230706154300,14.9,1002.2,54,209,12.2,1.3,10265.1
50968,20230706154300,16.5,1018.3,6,285,14.8,0.9,10053.1
50973,20230706154300,30.2,1007.9,40,153,6.5,1.0,10225.6
50978,20230706154300,0.7,1010.4,29,21,1.3,0.2,10283.1
50983,20230706154300,5.3,1020.1,58,352,6.5,0.9,10115.5
54094,20230706154300,33.7,1012.7,33,332,12.6,0.6,10215.2
54096,20230706154300,12.6,1011.6,51,28,7.2,0.3,10304.2
57251,20230706154300,18.7,1003.2,12,294,13.6,0.9,10137.1
57256,20230706154300,30.1,1009.4,22,164,8.2,1.5,10143.0
57259,20230706154300,9.7,1004.6,54,236,8.8,1.3,10303.6
57265,20230706154300,21.6,1019.5,26,172,3.9,0.3,10063.4
57278,20230706154300,16.1,1004.2,60,211,0.6,1.5,10439.4
57279,20230706154300,4.3,1004.5,4,6,13.6,1.4,10252.6
57355,20230706154300,21.8,1001.3,95,177,8.9,1.4,10136.6
57358,20230706154300,27.9,1010.2,95,158,6.5,0.2,10341.1
57359,20230706154300,0.6,1025.3,7,19,11.2,1.0,10318.8
57363,20230706154300,11.9,1006.9,94,164,4.0,1.3,10124.1
57378,20230706154300,12.6,1014.0,67,297,0.8,1.3,10263.4
57381,20230706154300,34.9,1018.3,72,168,3.7,0.7,10094.1
